Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Month Name,Quarter,Days to Ship,Profit Margin %,Revenue per Unit,Discount %,Profit Flag,Margin Band
1,CA-2024-1000,8/2/2024,8/7/2024,Standard Class,CG-00029,Customer 029,Home Office,Los Angeles,California,West,TEC-PHO-65302,Technology,Phones,Cisco Phone,299.99,1,0,47.71,2024,8,August,Q3,5,15.9,299.99,0,Profit,Medium Margin
2,CA-2022-1001,4/22/2022,4/29/2022,Standard Class,CG-00029,Customer 029,Home Office,Birmingham,Alabama,South,OFF-BIN-65392,Office Supplies,Binders,Avery Binder,62.35,6,0.2,14.24,2022,4,April,Q2,7,22.84,10.39,20,Profit,Medium Margin
3,CA-2022-1002,11/21/2022,11/26/2022,Standard Class,CG-00046,Customer 046,Corporate,Minneapolis,Minnesota,Central,OFF-BIN-70217,Office Supplies,Binders,Wilson Jones Binder,134.91,9,0,47.35,2022,11,November,Q4,5,35.1,14.99,0,Profit,High Margin
4,CA-2023-1003,2/15/2023,2/22/2023,Standard Class,CG-00074,Customer 074,Home Office,Los Angeles,California,West,FUR-TAB-20458,Furniture,Tables,Bretford Table,15119.87,14,0.1,2040.77,2023,2,February,Q1,7,13.5,1079.99,10,Profit,Medium Margin
5,CA-2023-1004,2/18/2023,2/20/2023,First Class,CG-00048,Customer 048,Consumer,Chicago,Illinois,Central,TEC-MAC-89840,Technology,Machines,HP Printer,6599.89,11,0,1485.77,2023,2,February,Q1,2,22.51,599.99,0,Profit,Medium Margin
6,CA-2022-1005,5/17/2022,5/21/2022,Second Class,CG-00119,Customer 119,Home Office,Portland,Oregon,West,FUR-TAB-51347,Furniture,Tables,Riverside Meeting Table,5039.94,7,0.2,75.24,2022,5,May,Q2,4,1.49,719.99,20,Profit,Low Margin
7,CA-2024-1006,3/7/2024,3/10/2024,First Class,CG-00114,Customer 114,Consumer,Atlanta,Georgia,South,OFF-PAP-83579,Office Supplies,Paper,Hammermill Copy Paper,215.93,9,0.2,68.46,2024,3,March,Q1,3,31.7,23.99,20,Profit,High Margin
8,CA-2023-1007,5/28/2023,5/28/2023,Same Day,CG-00066,Customer 066,Consumer,Miami,Florida,South,FUR-CHA-92240,Furniture,Chairs,Staples Chair,539.98,3,0.4,-29.99,2023,5,May,Q2,0,-5.55,179.99,40,Loss,Loss
9,CA-2023-1008,2/28/2023,2/28/2023,Same Day,CG-00071,Customer 071,Home Office,New York City,New York,East,TEC-MAC-24621,Technology,Machines,Brother Fax Machine,1199.97,5,0.4,22.47,2023,2,February,Q1,0,1.87,239.99,40,Profit,Low Margin
10,CA-2021-1009,1/7/2021,1/9/2021,First Class,CG-00112,Customer 112,Corporate,Minneapolis,Minnesota,Central,TEC-ACC-59009,Technology,Accessories,Plantronics Headset,1169.87,13,0,264.28,2021,1,January,Q1,2,22.59,89.99,0,Profit,Medium Margin
