Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2024-1000,2024-08-02,2024-08-07,Standard Class,CG-00029,Customer 029,Home Office,Los Angeles,California,West,TEC-PHO-65302,Technology,Phones,Cisco Phone,299.99,1,0.0,47.71
2,CA-2022-1001,2022-04-22,2022-04-29,Standard Class,CG-00029,Customer 029,Home Office,Birmingham,Alabama,South,OFF-BIN-65392,Office Supplies,Binders,Avery Binder,62.35,6,0.2,14.24
3,CA-2022-1002,2022-11-21,2022-11-26,Standard Class,CG-00046,Customer 046,Corporate,Minneapolis,Minnesota,Central,OFF-BIN-70217,Office Supplies,Binders,Wilson Jones Binder,134.91,9,0.0,47.35
4,CA-2023-1003,2023-02-15,2023-02-22,Standard Class,CG-00074,Customer 074,Home Office,Los Angeles,California,West,FUR-TAB-20458,Furniture,Tables,Bretford Table,15119.87,14,0.1,2040.77
5,CA-2023-1004,2023-02-18,2023-02-20,First Class,CG-00048,Customer 048,Consumer,Chicago,Illinois,Central,TEC-MAC-89840,Technology,Machines,HP Printer,6599.89,11,0.0,1485.77
6,CA-2022-1005,2022-05-17,2022-05-21,Second Class,CG-00119,Customer 119,Home Office,Portland,Oregon,West,FUR-TAB-51347,Furniture,Tables,Riverside Meeting Table,5039.94,7,0.2,75.24
7,CA-2024-1006,2024-03-07,2024-03-10,First Class,CG-00114,Customer 114,Consumer,Atlanta,Georgia,South,OFF-PAP-83579,Office Supplies,Paper,Hammermill Copy Paper,215.93,9,0.2,68.46
8,CA-2023-1007,2023-05-28,2023-05-28,Same Day,CG-00066,Customer 066,Consumer,Miami,Florida,South,FUR-CHA-92240,Furniture,Chairs,Staples Chair,539.98,3,0.4,-29.99
9,CA-2023-1008,2023-02-28,2023-02-28,Same Day,CG-00071,Customer 071,Home Office,New York City,New York,East,TEC-MAC-24621,Technology,Machines,Brother Fax Machine,1199.97,5,0.4,22.47
10,CA-2021-1009,2021-01-07,2021-01-09,First Class,CG-00112,Customer 112,Corporate,Minneapolis,Minnesota,Central,TEC-ACC-59009,Technology,Accessories,Plantronics Headset,1169.87,13,0.0,264.28
11,CA-2023-1010,2023-12-23,2023-12-30,Standard Class,CG-00003,Customer 003,Consumer,Newark,New Jersey,East,OFF-PAP-41571,Office Supplies,Paper,Hammermill Copy Paper,299.9,10,0.0,65.33
12,CA-2023-1011,2023-09-23,2023-09-30,Standard Class,CG-00085,Customer 085,Corporate,Birmingham,Alabama,South,FUR-BOO-37760,Furniture,Bookcases,Sauder Bookcase,2024.92,9,0.1,226.67
13,CA-2023-1012,2023-03-29,2023-03-31,First Class,CG-00032,Customer 032,Home Office,Los Angeles,California,West,OFF-BIN-82603,Office Supplies,Binders,Wilson Jones Binder,53.96,4,0.1,11.12
14,CA-2024-1013,2024-12-20,2024-12-25,Standard Class,CG-00111,Customer 111,Consumer,Houston,Texas,Central,TEC-ACC-97684,Technology,Accessories,Logitech Keyboard,359.93,8,0.1,81.3
15,CA-2024-1014,2024-03-15,2024-03-15,Same Day,CG-00025,Customer 025,Corporate,New York City,New York,East,TEC-COP-65519,Technology,Copiers,HP Copier,4549.97,7,0.5,566.81
16,CA-2021-1015,2021-04-21,2021-04-26,Standard Class,CG-00103,Customer 103,Corporate,Philadelphia,Pennsylvania,East,FUR-TAB-28373,Furniture,Tables,Bretford Table,8399.93,7,0.0,392.96
17,CA-2022-1016,2022-05-27,2022-06-02,Standard Class,CG-00084,Customer 084,Consumer,New York City,New York,East,FUR-TAB-73653,Furniture,Tables,Bretford Table,8639.93,8,0.1,1163.78
18,CA-2021-1017,2021-05-01,2021-05-04,Second Class,CG-00034,Customer 034,Corporate,Charlotte,North Carolina,South,OFF-ENV-30289,Office Supplies,Envelopes,Kraft Envelopes,15.97,4,0.2,3.8
19,CA-2021-1018,2021-04-30,2021-05-07,Standard Class,CG-00007,Customer 007,Corporate,Birmingham,Alabama,South,TEC-ACC-76562,Technology,Accessories,Plantronics Headset,179.98,2,0.0,27.95
20,CA-2021-1019,2021-05-20,2021-05-23,Second Class,CG-00075,Customer 075,Consumer,Richmond,Virginia,East,FUR-FUR-44179,Furniture,Furnishings,Fiskars Scissors,27.97,4,0.3,1.14
21,CA-2023-1020,2023-03-22,2023-03-26,Second Class,CG-00041,Customer 041,Home Office,New York City,New York,East,OFF-STO-19602,Office Supplies,Storage,Sterilite Storage Box,121.42,9,0.1,34.1
22,CA-2021-1021,2021-09-29,2021-10-02,First Class,CG-00037,Customer 037,Corporate,Las Vegas,Nevada,West,TEC-MAC-97538,Technology,Machines,HP Printer,6719.89,14,0.2,1913.58
23,CA-2021-1022,2021-08-01,2021-08-04,Second Class,CG-00096,Customer 096,Consumer,Portland,Oregon,West,OFF-STO-54942,Office Supplies,Storage,Sterilite Storage Box,47.97,4,0.2,13.47
24,CA-2022-1023,2022-05-30,2022-06-04,Standard Class,CG-00006,Customer 006,Consumer,Newark,New Jersey,East,FUR-BOO-67912,Furniture,Bookcases,Bush Classic Bookcase,1079.95,9,0.4,-65.73
25,CA-2021-1024,2021-08-18,2021-08-25,Standard Class,CG-00107,Customer 107,Home Office,Minneapolis,Minnesota,Central,TEC-ACC-26704,Technology,Accessories,Logitech Keyboard,39.99,1,0.2,7.99
26,CA-2021-1025,2021-03-23,2021-03-25,First Class,CG-00046,Customer 046,Corporate,Birmingham,Alabama,South,TEC-ACC-31299,Technology,Accessories,Plantronics Headset,1169.87,13,0.0,324.3
27,CA-2021-1026,2021-02-20,2021-02-24,Second Class,CG-00103,Customer 103,Corporate,Portland,Oregon,West,FUR-CHA-15075,Furniture,Chairs,Hon Deluxe Chair,3499.93,14,0.5,-390.71
28,CA-2023-1027,2023-08-01,2023-08-03,First Class,CG-00004,Customer 004,Corporate,Las Vegas,Nevada,West,OFF-PEN-46585,Office Supplies,Pens & Art Supplies,BIC Ballpoint Pens,21.56,6,0.4,3.38
29,CA-2024-1028,2024-01-04,2024-01-07,First Class,CG-00023,Customer 023,Home Office,Houston,Texas,Central,FUR-FUR-51114,Furniture,Furnishings,Fiskars Scissors,69.93,7,0.0,4.39
30,CA-2024-1029,2024-03-26,2024-03-29,Second Class,CG-00001,Customer 001,Corporate,Portland,Oregon,West,OFF-BIN-53279,Office Supplies,Binders,Wilson Jones Binder,104.93,10,0.3,31.95
31,CA-2021-1030,2021-09-13,2021-09-16,First Class,CG-00042,Customer 042,Consumer,Charlotte,North Carolina,South,TEC-ACC-65108,Technology,Accessories,Plantronics Headset,593.93,11,0.4,57.37
32,CA-2021-1031,2021-12-23,2021-12-26,First Class,CG-00037,Customer 037,Corporate,Las Vegas,Nevada,West,TEC-MAC-67905,Technology,Machines,Brother Fax Machine,2879.93,8,0.1,638.41
33,CA-2021-1032,2021-12-14,2021-12-20,Standard Class,CG-00105,Customer 105,Consumer,Portland,Oregon,West,FUR-TAB-13201,Furniture,Tables,Riverside Meeting Table,809.99,1,0.1,123.6
34,CA-2024-1033,2024-06-05,2024-06-11,Standard Class,CG-00092,Customer 092,Home Office,Nashville,Tennessee,South,OFF-PAP-95990,Office Supplies,Paper,Hammermill Copy Paper,359.88,12,0.0,121.96
35,CA-2021-1034,2021-08-07,2021-08-07,Same Day,CG-00007,Customer 007,Corporate,Los Angeles,California,West,OFF-PAP-97500,Office Supplies,Paper,Xerox Paper,157.44,9,0.3,54.71
36,CA-2023-1035,2023-06-26,2023-06-26,Same Day,CG-00096,Customer 096,Consumer,Nashville,Tennessee,South,OFF-PAP-78327,Office Supplies,Paper,Xerox Paper,179.93,8,0.1,44.3
37,CA-2021-1036,2021-06-08,2021-06-11,First Class,CG-00041,Customer 041,Home Office,Philadelphia,Pennsylvania,East,FUR-TAB-30028,Furniture,Tables,Bretford Table,12959.89,12,0.1,189.66
38,CA-2023-1037,2023-04-15,2023-04-18,First Class,CG-00008,Customer 008,Home Office,Las Vegas,Nevada,West,OFF-STO-85456,Office Supplies,Storage,Sterilite Storage Box,52.47,7,0.5,2.93
39,CA-2022-1038,2022-12-22,2022-12-24,First Class,CG-00063,Customer 063,Consumer,Portland,Oregon,West,OFF-LAB-60968,Office Supplies,Labels,Avery Labels,28.76,6,0.4,4.71
40,CA-2023-1039,2023-08-16,2023-08-19,Second Class,CG-00076,Customer 076,Corporate,New York City,New York,East,TEC-COP-70515,Technology,Copiers,Canon Copier,4499.97,3,0.0,828.1
41,CA-2022-1040,2022-11-02,2022-11-06,Second Class,CG-00098,Customer 098,Home Office,Charlotte,North Carolina,South,OFF-PEN-71644,Office Supplies,Pens & Art Supplies,BIC Ballpoint Pens,5.99,1,0.0,2.13
42,CA-2022-1041,2022-12-18,2022-12-21,Second Class,CG-00097,Customer 097,Corporate,Philadelphia,Pennsylvania,East,FUR-CHA-29973,Furniture,Chairs,Global Chair,1559.96,4,0.0,118.61
43,CA-2021-1042,2021-08-23,2021-08-27,Second Class,CG-00022,Customer 022,Corporate,Philadelphia,Pennsylvania,East,OFF-BIN-13365,Office Supplies,Binders,Wilson Jones Binder,44.97,5,0.4,5.15
44,CA-2022-1043,2022-02-11,2022-02-18,Standard Class,CG-00090,Customer 090,Consumer,Minneapolis,Minnesota,Central,FUR-CHA-79827,Furniture,Chairs,Hon Deluxe Chair,2449.95,7,0.3,37.59
45,CA-2024-1044,2024-08-19,2024-08-22,First Class,CG-00014,Customer 014,Home Office,Charlotte,North Carolina,South,TEC-COP-67080,Technology,Copiers,Canon Copier,3599.98,3,0.2,854.59
46,CA-2024-1045,2024-01-08,2024-01-08,Same Day,CG-00042,Customer 042,Consumer,Los Angeles,California,West,OFF-LAB-70910,Office Supplies,Labels,Avery Labels,47.94,10,0.4,5.06
47,CA-2023-1046,2023-10-10,2023-10-12,First Class,CG-00046,Customer 046,Corporate,Columbus,Ohio,Central,OFF-STO-82848,Office Supplies,Storage,Iris Storage Case,22.49,1,0.1,4.9
48,CA-2023-1047,2023-04-13,2023-04-13,Same Day,CG-00083,Customer 083,Home Office,Nashville,Tennessee,South,FUR-CHA-39045,Furniture,Chairs,Hon Deluxe Chair,3149.94,7,0.1,160.43
49,CA-2024-1048,2024-04-06,2024-04-09,First Class,CG-00096,Customer 096,Consumer,Columbus,Ohio,Central,TEC-COP-50189,Technology,Copiers,HP Copier,5849.95,5,0.1,954.12
50,CA-2022-1049,2022-01-30,2022-02-01,First Class,CG-00028,Customer 028,Corporate,Charlotte,North Carolina,South,TEC-MAC-35443,Technology,Machines,HP Printer,2699.95,5,0.1,537.65
51,CA-2022-1050,2022-09-12,2022-09-19,Standard Class,CG-00006,Customer 006,Consumer,Richmond,Virginia,East,OFF-ENV-93606,Office Supplies,Envelopes,Poly Envelopes,48.93,14,0.5,3.44
52,CA-2021-1051,2021-01-26,2021-01-29,First Class,CG-00044,Customer 044,Home Office,Los Angeles,California,West,OFF-LAB-18564,Office Supplies,Labels,Avery Labels,27.96,7,0.5,1.85
53,CA-2024-1052,2024-07-13,2024-07-18,Standard Class,CG-00011,Customer 011,Home Office,Los Angeles,California,West,TEC-COP-78494,Technology,Copiers,Canon Copier,5249.97,7,0.5,689.19
54,CA-2022-1053,2022-09-01,2022-09-01,Same Day,CG-00098,Customer 098,Home Office,Seattle,Washington,West,OFF-ENV-30585,Office Supplies,Envelopes,Poly Envelopes,27.96,4,0.0,8.05
55,CA-2021-1054,2021-11-17,2021-11-23,Standard Class,CG-00038,Customer 038,Home Office,Philadelphia,Pennsylvania,East,OFF-ENV-69510,Office Supplies,Envelopes,Kraft Envelopes,8.98,2,0.1,3.09
56,CA-2024-1055,2024-07-04,2024-07-07,Second Class,CG-00083,Customer 083,Home Office,Portland,Oregon,West,FUR-CHA-31747,Furniture,Chairs,Staples Chair,3119.9,13,0.2,294.07
57,CA-2024-1056,2024-03-11,2024-03-14,First Class,CG-00089,Customer 089,Home Office,Detroit,Michigan,Central,OFF-STO-67377,Office Supplies,Storage,Iris Storage Case,49.98,2,0.0,16.91
58,CA-2022-1057,2022-10-23,2022-10-25,First Class,CG-00087,Customer 087,Consumer,Newark,New Jersey,East,TEC-PHO-71669,Technology,Phones,Apple iPhone,3374.95,9,0.5,446.88
59,CA-2022-1058,2022-01-07,2022-01-07,Same Day,CG-00061,Customer 061,Corporate,Detroit,Michigan,Central,OFF-PEN-31079,Office Supplies,Pens & Art Supplies,BIC Ballpoint Pens,21.56,6,0.4,3.43
60,CA-2022-1059,2022-08-14,2022-08-14,Same Day,CG-00012,Customer 012,Consumer,Columbus,Ohio,Central,OFF-BIN-77449,Office Supplies,Binders,Cardinal Binder,125.86,14,0.0,38.22
61,CA-2024-1060,2024-01-17,2024-01-17,Same Day,CG-00067,Customer 067,Corporate,Minneapolis,Minnesota,Central,OFF-ENV-16764,Office Supplies,Envelopes,Kraft Envelopes,15.97,4,0.2,4.59
62,CA-2022-1061,2022-08-13,2022-08-13,Same Day,CG-00004,Customer 004,Corporate,Seattle,Washington,West,OFF-STO-82384,Office Supplies,Storage,Sterilite Storage Box,104.93,7,0.0,25.05
63,CA-2021-1062,2021-08-21,2021-08-21,Same Day,CG-00120,Customer 120,Consumer,Minneapolis,Minnesota,Central,TEC-MAC-73242,Technology,Machines,Brother Fax Machine,2879.93,8,0.1,614.92
64,CA-2021-1063,2021-10-24,2021-10-24,Same Day,CG-00036,Customer 036,Consumer,Charlotte,North Carolina,South,TEC-MAC-47072,Technology,Machines,HP Printer,5759.9,12,0.2,1558.75
65,CA-2024-1064,2024-04-02,2024-04-02,Same Day,CG-00045,Customer 045,Consumer,Minneapolis,Minnesota,Central,TEC-COP-52176,Technology,Copiers,HP Copier,16379.87,14,0.1,4784.83
66,CA-2022-1065,2022-05-05,2022-05-05,Same Day,CG-00041,Customer 041,Home Office,Nashville,Tennessee,South,OFF-ENV-74923,Office Supplies,Envelopes,Poly Envelopes,6.99,1,0.0,1.96
67,CA-2024-1066,2024-04-23,2024-04-25,First Class,CG-00068,Customer 068,Home Office,Miami,Florida,South,TEC-ACC-95823,Technology,Accessories,Logitech Keyboard,149.97,3,0.0,32.31
68,CA-2022-1067,2022-06-27,2022-06-29,First Class,CG-00110,Customer 110,Home Office,Minneapolis,Minnesota,Central,OFF-PEN-80912,Office Supplies,Pens & Art Supplies,Staedtler Markers,12.99,1,0.0,3.12
69,CA-2024-1068,2024-11-02,2024-11-05,First Class,CG-00013,Customer 013,Corporate,Boston,Massachusetts,East,FUR-BOO-16028,Furniture,Bookcases,Bush Classic Bookcase,1199.94,6,0.0,58.8
70,CA-2023-1069,2023-02-07,2023-02-07,Same Day,CG-00073,Customer 073,Corporate,Seattle,Washington,West,FUR-CHA-60140,Furniture,Chairs,Global Chair,3509.91,10,0.1,279.56
71,CA-2024-1070,2024-04-09,2024-04-13,Second Class,CG-00059,Customer 059,Home Office,Houston,Texas,Central,OFF-PEN-19681,Office Supplies,Pens & Art Supplies,BIC Ballpoint Pens,33.54,8,0.3,11.84
72,CA-2022-1071,2022-09-05,2022-09-05,Same Day,CG-00109,Customer 109,Corporate,Chicago,Illinois,Central,OFF-LAB-41091,Office Supplies,Labels,Avery Labels,39.15,7,0.3,11.4
73,CA-2024-1072,2024-12-03,2024-12-06,First Class,CG-00002,Customer 002,Home Office,Richmond,Virginia,East,TEC-COP-40162,Technology,Copiers,HP Copier,9099.93,10,0.3,1618.43
74,CA-2022-1073,2022-01-25,2022-01-27,First Class,CG-00116,Customer 116,Home Office,Newark,New Jersey,East,OFF-BIN-57823,Office Supplies,Binders,Wilson Jones Binder,179.88,12,0.0,39.31
75,CA-2022-1074,2022-08-28,2022-08-30,First Class,CG-00026,Customer 026,Home Office,Phoenix,Arizona,West,OFF-STO-31567,Office Supplies,Storage,Iris Storage Case,62.47,5,0.5,12.5
